trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,3,-98.39116187611305,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-154.696902233699,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-103.61658576966538,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,4,-80.59042499246797,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-75.00895052477989,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-69.31902841015335,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,6,-54.9810896267227,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-225.2289230317772,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",30,0,-153.0686459056939,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",35,0,-147.11597735694187,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",30,20,0.9897058157483132,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-93.20653258709848,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,4,-51.61311369914327,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-74.13175158045371,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-163.451068102335,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-61.36449362795026,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-137.91707171790387,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-56.603835832161884,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",35,11,-92.14449326856612,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-112.64546255800494,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-49.23178326304882,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",35,0,-150.98555132648394,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-85.4314045420256,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,7,-124.85661099359785,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,0,-105.43965655729711,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-50.294768038077244,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,15,-131.16853117397895,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 3}",1
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-132.74677779935203,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",30,6,-141.23534686424813,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-80.86199921181101,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,7,-33.73068917003797,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-57.27246654044789,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",35,12,-2.7865561653664868,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-76.94884578700756,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",30,0,-174.94322043424782,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-101.78687467735702,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-11.847622113843624,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-177.11465179683074,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,0,-142.0616881839646,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
